id,timestamp,mac,temperatura,umidade,latencia,hops
14696,2025-12-07 00:05:12,40:4c:ca:5e:0f:34,21.44,86.1,1315,2
14697,2025-12-07 00:06:13,40:4c:ca:5e:02:44,21.44,86.1,464,3
14698,2025-12-07 00:06:56,40:4c:ca:5d:f7:d4,19.51,66.87,104,1
14699,2025-12-07 00:08:50,40:4c:ca:5e:00:a0,28.13,61.79,868,1
14700,2025-12-07 00:10:11,40:4c:ca:5d:e6:e8,29.62,82.84,1304,1
14701,2025-12-07 00:10:12,40:4c:ca:5e:0f:34,29.62,82.84,2312,2
14702,2025-12-07 00:11:13,40:4c:ca:5e:02:44,29.62,82.84,465,3
14703,2025-12-07 00:11:56,40:4c:ca:5d:f7:d4,28.13,61.79,154,1
14704,2025-12-07 00:13:50,40:4c:ca:5e:00:a0,26.95,90.5,121,1
14705,2025-12-07 00:15:11,40:4c:ca:5d:e6:e8,23.63,78.01,103,1
14706,2025-12-07 00:15:16,40:4c:ca:5e:0f:34,23.63,78.01,3729,2
14707,2025-12-07 00:16:13,40:4c:ca:5e:02:44,23.63,78.01,180,3
14708,2025-12-07 00:16:56,40:4c:ca:5d:f7:d4,26.95,90.5,345,1
14709,2025-12-07 00:19:04,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14710,2025-12-07 00:19:04,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14711,2025-12-07 00:19:04,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14712,2025-12-07 00:19:04,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14713,2025-12-07 00:19:04,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14714,2025-12-07 00:19:04,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14715,2025-12-07 00:19:04,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14716,2025-12-07 00:19:05,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14717,2025-12-07 00:19:05,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14718,2025-12-07 00:19:05,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14719,2025-12-07 00:19:05,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14720,2025-12-07 00:19:05,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14721,2025-12-07 00:19:05,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14722,2025-12-07 00:19:05,40:4c:ca:5e:00:a0,29.5,66.13,143,1
14723,2025-12-07 00:20:11,40:4c:ca:5d:e6:e8,30.1,64.36,102,1
14724,2025-12-07 00:20:17,40:4c:ca:5e:0f:34,30.1,64.36,1053,2
14725,2025-12-07 00:21:13,40:4c:ca:5e:02:44,30.1,64.36,222,3
14726,2025-12-07 00:21:56,40:4c:ca:5d:f7:d4,29.5,66.13,738,1
14727,2025-12-07 00:23:50,40:4c:ca:5e:00:a0,27.62,78.34,160,1
14728,2025-12-07 00:25:11,40:4c:ca:5d:e6:e8,24.76,76.31,82,1
14729,2025-12-07 00:25:16,40:4c:ca:5e:0f:34,24.76,76.31,109,2
14730,2025-12-07 00:26:56,40:4c:ca:5d:f7:d4,27.62,78.34,83,1
14731,2025-12-07 00:28:50,40:4c:ca:5e:00:a0,29.73,67.47,92,1
14732,2025-12-07 00:30:11,40:4c:ca:5d:e6:e8,27.29,89.97,91,1
14733,2025-12-07 00:30:16,40:4c:ca:5e:0f:34,27.29,89.97,105,2
14734,2025-12-07 00:31:56,40:4c:ca:5d:f7:d4,29.73,67.47,588,1
14735,2025-12-07 00:33:50,40:4c:ca:5e:00:a0,25.21,66.3,81,1
14736,2025-12-07 00:35:11,40:4c:ca:5d:e6:e8,29.75,72.91,665,1
14737,2025-12-07 00:35:16,40:4c:ca:5e:0f:34,29.75,72.91,461,2
14738,2025-12-07 00:36:56,40:4c:ca:5d:f7:d4,25.21,66.3,82,1
14739,2025-12-07 00:38:50,40:4c:ca:5e:00:a0,26.4,68.57,90,1
14740,2025-12-07 00:40:11,40:4c:ca:5d:e6:e8,27.9,88.44,130,1
14741,2025-12-07 00:40:16,40:4c:ca:5e:0f:34,27.9,88.44,169,2
14742,2025-12-07 00:41:56,40:4c:ca:5d:f7:d4,26.4,68.57,95,1
14743,2025-12-07 00:43:50,40:4c:ca:5e:00:a0,25.78,66.26,84,1
14744,2025-12-07 00:45:11,40:4c:ca:5d:e6:e8,29.34,87.25,80,1
14745,2025-12-07 00:45:16,40:4c:ca:5e:0f:34,29.34,87.25,104,2
14746,2025-12-07 00:46:56,40:4c:ca:5d:f7:d4,25.78,66.26,98,1
14747,2025-12-07 00:48:50,40:4c:ca:5e:00:a0,18.03,79.97,82,1
14748,2025-12-07 00:50:11,40:4c:ca:5d:e6:e8,24.29,71.3,80,1
14749,2025-12-07 00:50:16,40:4c:ca:5e:0f:34,24.29,71.3,97,2
14750,2025-12-07 00:51:56,40:4c:ca:5d:f7:d4,18.03,79.97,96,1
14751,2025-12-07 00:53:50,40:4c:ca:5e:00:a0,26.08,89.93,81,1
14752,2025-12-07 00:55:11,40:4c:ca:5d:e6:e8,19.27,88.26,81,1
14753,2025-12-07 00:55:17,40:4c:ca:5e:0f:34,19.27,88.26,112,2
14754,2025-12-07 00:56:56,40:4c:ca:5d:f7:d4,26.08,89.93,88,1
14755,2025-12-07 00:58:50,40:4c:ca:5e:00:a0,18.88,89.38,45,1
14756,2025-12-07 01:00:11,40:4c:ca:5d:e6:e8,29.43,69.34,77,1
14757,2025-12-07 01:00:16,40:4c:ca:5e:0f:34,29.43,69.34,96,2
14758,2025-12-07 01:01:56,40:4c:ca:5d:f7:d4,18.88,89.38,85,1
14759,2025-12-07 01:03:50,40:4c:ca:5e:00:a0,24.85,73.93,77,1
14760,2025-12-07 01:05:11,40:4c:ca:5d:e6:e8,18.04,62.6,74,1
14761,2025-12-07 01:05:16,40:4c:ca:5e:0f:34,18.04,62.6,88,2
14762,2025-12-07 01:06:56,40:4c:ca:5d:f7:d4,24.85,73.93,81,1
14763,2025-12-07 01:08:50,40:4c:ca:5e:00:a0,28.88,68.2,75,1
14764,2025-12-07 01:10:11,40:4c:ca:5d:e6:e8,18.49,62.2,73,1
14765,2025-12-07 01:10:16,40:4c:ca:5e:0f:34,18.49,62.2,91,2
14766,2025-12-07 01:11:56,40:4c:ca:5d:f7:d4,28.88,68.2,88,1
14767,2025-12-07 01:13:50,40:4c:ca:5e:00:a0,19.11,83.46,78,1
14768,2025-12-07 01:15:11,40:4c:ca:5d:e6:e8,20.56,75.32,79,1
14769,2025-12-07 01:15:17,40:4c:ca:5e:0f:34,20.56,75.32,109,2
14770,2025-12-07 01:16:56,40:4c:ca:5d:f7:d4,19.11,83.46,78,1
14771,2025-12-07 01:18:50,40:4c:ca:5e:00:a0,20.87,87.1,72,1
14772,2025-12-07 01:20:11,40:4c:ca:5d:e6:e8,28.72,87.13,74,1
14773,2025-12-07 01:20:17,40:4c:ca:5e:0f:34,28.72,87.13,94,2
14774,2025-12-07 01:21:56,40:4c:ca:5d:f7:d4,20.87,87.1,85,1
14775,2025-12-07 01:23:50,40:4c:ca:5e:00:a0,18.09,70.87,71,1
14776,2025-12-07 01:25:11,40:4c:ca:5d:e6:e8,25.9,70.09,79,1
14777,2025-12-07 01:25:17,40:4c:ca:5e:0f:34,25.9,70.09,106,2
14778,2025-12-07 01:26:56,40:4c:ca:5d:f7:d4,18.09,70.87,88,1
14779,2025-12-07 01:28:50,40:4c:ca:5e:00:a0,19.68,77.03,77,1
14780,2025-12-07 01:30:11,40:4c:ca:5d:e6:e8,24.19,73.05,96,1
14781,2025-12-07 01:30:17,40:4c:ca:5e:0f:34,24.19,73.05,107,2
14782,2025-12-07 01:31:56,40:4c:ca:5d:f7:d4,19.68,77.03,77,1
14783,2025-12-07 01:33:50,40:4c:ca:5e:00:a0,26.73,60.0,76,1
14784,2025-12-07 01:35:11,40:4c:ca:5d:e6:e8,24.95,63.49,77,1
14785,2025-12-07 01:35:17,40:4c:ca:5e:0f:34,24.95,63.49,89,2
14786,2025-12-07 01:36:56,40:4c:ca:5d:f7:d4,26.73,60.0,71,1
14787,2025-12-07 01:38:51,40:4c:ca:5e:00:a0,19.74,63.05,69,1
14788,2025-12-07 01:40:11,40:4c:ca:5d:e6:e8,23.27,61.19,68,1
14789,2025-12-07 01:40:17,40:4c:ca:5e:0f:34,23.27,61.19,92,2
14790,2025-12-07 01:41:56,40:4c:ca:5d:f7:d4,19.74,63.05,80,1
14791,2025-12-07 01:43:50,40:4c:ca:5e:00:a0,26.83,72.52,71,1
14792,2025-12-07 01:45:11,40:4c:ca:5d:e6:e8,23.97,89.24,69,1
14793,2025-12-07 01:45:17,40:4c:ca:5e:0f:34,23.97,89.24,87,2
14794,2025-12-07 01:46:56,40:4c:ca:5d:f7:d4,26.83,72.52,71,1
14795,2025-12-07 01:48:50,40:4c:ca:5e:00:a0,21.7,69.87,68,1
14796,2025-12-07 01:50:11,40:4c:ca:5d:e6:e8,29.96,81.49,68,1
14797,2025-12-07 01:50:17,40:4c:ca:5e:0f:34,29.96,81.49,91,2
14798,2025-12-07 01:51:56,40:4c:ca:5d:f7:d4,21.7,69.87,74,1
14799,2025-12-07 01:53:50,40:4c:ca:5e:00:a0,30.02,69.1,73,1
14800,2025-12-07 01:55:11,40:4c:ca:5d:e6:e8,23.56,63.84,59,1
14801,2025-12-07 01:55:17,40:4c:ca:5e:0f:34,23.56,63.84,72,2
14802,2025-12-07 01:56:57,40:4c:ca:5d:f7:d4,30.02,69.1,57,1
14803,2025-12-07 02:00:11,40:4c:ca:5d:e6:e8,18.93,69.45,55,1
14804,2025-12-07 02:00:17,40:4c:ca:5e:0f:34,18.93,69.45,69,2
14805,2025-12-07 02:01:56,40:4c:ca:5d:f7:d4,23.05,85.1,62,1
14806,2025-12-07 02:05:11,40:4c:ca:5d:e6:e8,26.07,88.06,59,1
14807,2025-12-07 02:05:17,40:4c:ca:5e:0f:34,26.07,88.06,70,2
