id,timestamp,mac,rssi,mac_pai,snr
26644,2025-12-10 11:18:28,e0:5a:1b:75:02:68,-72,40:4c:ca:5d:f3:b9,
26645,2025-12-10 11:19:08,40:4c:ca:5e:0f:34,-80,40:4c:ca:5d:f3:b9,
26646,2025-12-10 11:19:08,40:4c:ca:5e:0f:34,-80,40:4c:ca:5d:f3:b9,
26647,2025-12-10 11:19:51,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26648,2025-12-10 11:21:56,40:4c:ca:5d:f3:b8,-59,null,
26649,2025-12-10 11:22:37,40:4c:ca:5e:09:2c,-94,40:4c:ca:5d:f3:b9,
26650,2025-12-10 11:22:37,40:4c:ca:5e:09:2c,-94,40:4c:ca:5d:f3:b9,
26651,2025-12-10 11:22:38,40:4c:ca:5e:09:2c,-94,40:4c:ca:5d:f3:b9,
26652,2025-12-10 11:23:28,e0:5a:1b:75:02:68,-68,40:4c:ca:5d:f3:b9,
26653,2025-12-10 11:23:28,e0:5a:1b:75:02:68,-68,40:4c:ca:5d:f3:b9,
26654,2025-12-10 11:24:52,40:4c:ca:5d:e6:e8,-83,40:4c:ca:5e:09:2d,
26655,2025-12-10 11:24:52,40:4c:ca:5d:e6:e8,-83,40:4c:ca:5e:09:2d,
26656,2025-12-10 11:26:57,40:4c:ca:5d:f3:b8,-59,null,
26657,2025-12-10 11:27:37,40:4c:ca:5e:09:2c,-86,40:4c:ca:5d:f3:b9,
26658,2025-12-10 11:27:37,40:4c:ca:5e:09:2c,-86,40:4c:ca:5d:f3:b9,
26659,2025-12-10 11:27:37,40:4c:ca:5e:09:2c,-86,40:4c:ca:5d:f3:b9,
26660,2025-12-10 11:28:29,e0:5a:1b:75:02:68,-67,40:4c:ca:5d:f3:b9,
26661,2025-12-10 11:28:29,e0:5a:1b:75:02:68,-67,40:4c:ca:5d:f3:b9,
26662,2025-12-10 11:28:29,e0:5a:1b:75:02:68,-67,40:4c:ca:5d:f3:b9,
26663,2025-12-10 11:29:53,40:4c:ca:5d:e6:e8,-85,40:4c:ca:5e:09:2d,
26664,2025-12-10 11:29:53,40:4c:ca:5d:e6:e8,-85,40:4c:ca:5e:09:2d,
26665,2025-12-10 11:29:55,40:4c:ca:5d:e6:e8,-85,40:4c:ca:5e:09:2d,
26666,2025-12-10 11:31:57,40:4c:ca:5d:f3:b8,-59,null,
